Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:40:25,2019-05-28 19:40:30,5.797s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:40:30,2019-05-28 19:40:31,1.128s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:40:31,2019-05-28 19:40:36,4.109s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Powertrain Parts/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:36,2019-05-28 19:40:36,0.146s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Powertrain Parts/span_Powertrain Parts""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:36,2019-05-28 19:40:37,1.231s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Powertrain Parts/span_Engines""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:37,2019-05-28 19:40:39,2.276s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:40:39,2019-05-28 19:40:40,0.938s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Powertrain/Transmission Components,Chrome 74.0.3729.169,,,2019-05-28 19:40:40,2019-05-28 19:40:55,15.086s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:40:40,2019-05-28 19:40:46,5.874s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:40:46,2019-05-28 19:40:47,1.171s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:40:47,2019-05-28 19:40:51,3.190s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Transmission Componets/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:51,2019-05-28 19:40:51,0.154s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Transmission Componets/span_Transmission Components""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:51,2019-05-28 19:40:52,1.019s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Transmission Componets/span_GASKET SET""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:52,2019-05-28 19:40:54,2.516s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:40:54,2019-05-28 19:40:55,0.931s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Powertrain/Transmission Tranfer Cases,Chrome 74.0.3729.169,,,2019-05-28 19:40:55,2019-05-28 19:41:15,19.942s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:40:56,2019-05-28 19:41:02,6.416s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:41:02,2019-05-28 19:41:03,1.145s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:41:03,2019-05-28 19:41:07,3.503s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Transmission Transfer Cases/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:41:07,2019-05-28 19:41:07,0.142s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Transmission Transfer Cases/span_Transmissions  Transfer Cases""))",Chrome 74.0.3729.169,,,2019-05-28 19:41:07,2019-05-28 19:41:09,2.157s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-28 19:41:09,2019-05-28 19:41:14,5.002s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Transmission Transfer Cases/button_GO TO ECATALOG""))",Chrome 74.0.3729.169,,,2019-05-28 19:41:14,2019-05-28 19:41:14,0.201s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:41:14,2019-05-28 19:41:15,0.952s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Programs and Promotions/Rabtes and Promos,Chrome 74.0.3729.169,,,2019-05-28 19:41:15,2019-05-28 19:41:33,17.702s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:41:16,2019-05-28 19:41:21,5.483s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:41:21,2019-05-28 19:41:22,1.135s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:41:22,2019-05-28 19:41:26,3.501s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Programs and Promotions/Rebates and Promos/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:41:26,2019-05-28 19:41:26,0.137s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Programs and Promotions/Rebates and Promos/span_Rebates  Promos""))",Chrome 74.0.3729.169,,,2019-05-28 19:41:26,2019-05-28 19:41:27,1.197s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-28 19:41:27,2019-05-28 19:41:32,5.003s,PASSED
"verifyElementText(findTestObject(""SiteMap/Programs and Promotions/Rebates and Promos/h1_Get the Genuine GM Parts you need""), ""Get the Genuine GM Parts you need"")",Chrome 74.0.3729.169,,,2019-05-28 19:41:32,2019-05-28 19:41:32,0.066s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:41:32,2019-05-28 19:41:33,0.923s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Resources/Product Registration,Chrome 74.0.3729.169,,,2019-05-28 19:41:33,2019-05-28 19:41:50,16.535s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:41:33,2019-05-28 19:41:39,5.797s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:41:39,2019-05-28 19:41:40,1.232s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:41:40,2019-05-28 19:41:44,3.408s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Resources/Product Registration/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:41:44,2019-05-28 19:41:44,0.144s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Resources/Product Registration/span_Product Registration""))",Chrome 74.0.3729.169,,,2019-05-28 19:41:44,2019-05-28 19:41:46,1.688s,PASSED
delay(3),Chrome 74.0.3729.169,,,2019-05-28 19:41:46,2019-05-28 19:41:49,3.003s,PASSED
"verifyElementText(findTestObject(""SiteMap/Resources/Product Registration/h1_Product Registration""), ""Product Registration"")",Chrome 74.0.3729.169,,,2019-05-28 19:41:49,2019-05-28 19:41:49,0.067s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:41:49,2019-05-28 19:41:50,0.906s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Resources/Related Links,Chrome 74.0.3729.169,,,2019-05-28 19:41:50,2019-05-28 19:42:05,15.920s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:41:50,2019-05-28 19:41:55,5.617s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:41:55,2019-05-28 19:41:57,1.137s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:41:57,2019-05-28 19:42:00,3.674s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Resources/Related Links/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:42:00,2019-05-28 19:42:00,0.154s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Resources/Related Links/span_Related Links""))",Chrome 74.0.3729.169,,,2019-05-28 19:42:00,2019-05-28 19:42:01,1.156s,PASSED
delay(3),Chrome 74.0.3729.169,,,2019-05-28 19:42:01,2019-05-28 19:42:04,3.002s,PASSED
"verifyElementText(findTestObject(""SiteMap/Resources/Related Links/h1_Related links""), ""Related links"")",Chrome 74.0.3729.169,,,2019-05-28 19:42:04,2019-05-28 19:42:05,0.057s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:42:05,2019-05-28 19:42:05,0.916s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Resources/VIN Information,Chrome 74.0.3729.169,,,2019-05-28 19:42:05,2019-05-28 19:42:24,18.460s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:42:06,2019-05-28 19:42:11,5.516s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:42:11,2019-05-28 19:42:12,1.147s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:42:12,2019-05-28 19:42:16,3.840s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Resources/VIN Information/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:42:16,2019-05-28 19:42:16,0.169s,PASSED
